Protein_accession	uni_ipro_access	uni_ipro_desc	uni_GO_annot
CopciAB_366089.T0	IPR015328__IPR036460__IPR000269__IPR016182__IPR015798	Domain of unknown function DUF1965__Copper amine oxidase, catalytic domain superfamily__Copper amine oxidase__Copper amine oxidase, N-terminal__Copper amine oxidase, catalytic domain	-__GO:0005507|GO:0008131|GO:0009308|GO:0048038__GO:0005507|GO:0008131|GO:0009308|GO:0048038__GO:0005507|GO:0008131|GO:0009308|GO:0048038__GO:0005507|GO:0008131|GO:0009308|GO:0048038
CopciAB_366095.T0	IPR013087__IPR036236	Zinc finger C2H2-type__Zinc finger C2H2 superfamily	-__-
CopciAB_366098.T0	IPR005365	Nitrogen permease regulator 3	GO:0032007
CopciAB_366109.T0	IPR001199__IPR036400__IPR018506	Cytochrome b5-like heme/steroid binding domain__Cytochrome b5-like heme/steroid binding domain superfamily__Cytochrome b5, heme-binding site	-__-__GO:0020037
CopciAB_366127.T0	IPR015797__IPR000086	NUDIX hydrolase-like domain superfamily__NUDIX hydrolase domain	-__-
CopciAB_366173.T0	IPR001356__IPR009057	Homeobox domain__Homeobox-like domain superfamily	GO:0003677__-
CopciAB_366201.T0	IPR006073__IPR027417	GTP binding domain__P-loop containing nucleoside triphosphate hydrolase	GO:0005525__-
CopciAB_366206.T0	IPR013726	Protein of unknown function DUF1748, fungi	-
CopciAB_366229.T0	IPR008628__IPR038261	Golgi phosphoprotein 3-like__Golgi phosphoprotein 3-like domain superfamily	GO:0070273__-
CopciAB_366330.T0	IPR015943__IPR011047__IPR016024__IPR001680	WD40/YVTN repeat-like-containing domain superfamily__Quinoprotein alcohol dehydrogenase-like superfamily__Armadillo-type fold__WD40 repeat	GO:0005515__-__-__GO:0005515
CopciAB_366343.T0	IPR024388	Ribosomal protein L20, mitochondrial	-
CopciAB_366363.T0	IPR009772	Cell division cycle protein 123	-
CopciAB_366366.T0	IPR036691	Endonuclease/exonuclease/phosphatase superfamily	-
CopciAB_366367.T0	IPR006016__IPR006015	UspA__Universal stress protein A family	-__-
CopciAB_366401.T0	IPR026846__IPR013083__IPR004181	E3 SUMO-protein ligase Nse2 (Mms21)__Zinc finger, RING/FYVE/PHD-type__Zinc finger, MIZ-type	GO:0000724|GO:0019789|GO:0030915__-__GO:0008270
CopciAB_366414.T0	IPR004033__IPR029063	UbiE/COQ5 methyltransferase__S-adenosyl-L-methionine-dependent methyltransferase superfamily	GO:0008168__-
CopciAB_366426.T0	IPR016159__IPR019559__IPR036388__IPR036390__IPR001373__IPR045093__IPR016158__IPR016157__IPR036317	Cullin repeat-like-containing domain superfamily__Cullin protein, neddylation domain__Winged helix-like DNA-binding domain superfamily__Winged helix DNA-binding domain superfamily__Cullin, N-terminal__Cullin__Cullin homology domain__Cullin, conserved site__Cullin homology domain superfamily	-__-__-__-__GO:0006511|GO:0031625__-__-__GO:0006511|GO:0031461|GO:0031625__-
CopciAB_366442.T0	IPR002225__IPR036291	3-beta hydroxysteroid dehydrogenase/isomerase__NAD(P)-binding domain superfamily	GO:0003854|GO:0006694|GO:0016616__-
CopciAB_366450.T0	IPR003653__IPR038765	Ulp1 protease family, C-terminal catalytic domain__Papain-like cysteine peptidase superfamily	GO:0006508|GO:0008234__-
CopciAB_366476.T0	IPR000086__IPR015797__IPR039121	NUDIX hydrolase domain__NUDIX hydrolase-like domain superfamily__Acyl-coenzyme A diphosphatase NUDT19	-__-__GO:0016787
CopciAB_366535.T0	IPR019398	Pre-rRNA-processing protein TSR2	-
CopciAB_366541.T0	IPR003958__IPR009072	Transcription factor CBF/NF-Y/archaeal histone domain__Histone-fold	-__GO:0046982
CopciAB_366589.T0	IPR013000__IPR002136__IPR023574__IPR045240__IPR025755	Ribosomal protein L4/L1e, eukaryotic/archaeal, conserved site__Ribosomal protein L4/L1e__Ribosomal protein L4 domain superfamily__Ribosomal protein L4, eukaryotic and archaeal type__60S ribosomal protein L4, C-terminal domain	-__GO:0003735|GO:0005840|GO:0006412__GO:0003735|GO:0005840|GO:0006412__-__-
CopciAB_366593.T0	IPR002194__IPR017998__IPR002423__IPR027410__IPR012718__IPR027409__IPR027413	Chaperonin TCP-1, conserved site__Chaperone tailless complex polypeptide 1 (TCP-1)__Chaperonin Cpn60/GroEL/TCP-1 family__TCP-1-like chaperonin intermediate domain superfamily__T-complex protein 1, epsilon subunit__GroEL-like apical domain superfamily__GroEL-like equatorial domain superfamily	GO:0005524|GO:0006457|GO:0016887|GO:0051082__GO:0140662__GO:0005524__-__GO:0005524|GO:0006457|GO:0051082__-__-
CopciAB_366601.T0	IPR019771__IPR001698__IPR042276__IPR037282__IPR043175	F-actin capping protein, beta subunit, conserved site__F-actin-capping protein subunit beta__F-actin-capping protein subunit alpha/beta, domain 2__F-actin-capping protein subunit alpha/beta__F-actin-capping protein subunit beta, N-terminal domain	GO:0003779|GO:0005737|GO:0008290|GO:0030036__GO:0008290|GO:0051016__-__-__-
CopciAB_366605.T0	IPR000172__IPR012132__IPR036188__IPR007867	Glucose-methanol-choline oxidoreductase, N-terminal__Glucose-methanol-choline oxidoreductase__FAD/NAD(P)-binding domain superfamily__Glucose-methanol-choline oxidoreductase, C-terminal	GO:0016614|GO:0050660__GO:0050660__-__GO:0016614
CopciAB_366612.T0	IPR008733	Peroxisomal biogenesis factor 11	GO:0005778|GO:0016559
CopciAB_366639.T0	IPR037238__IPR012816	YbiA-like superfamily__NADAR	-__-
CopciAB_366658.T0	IPR009071__IPR036910	High mobility group box domain__High mobility group box domain superfamily	-__-
CopciAB_366673.T0	IPR011009__IPR045270__IPR000719__IPR008271__IPR000961	Protein kinase-like domain superfamily__Serine/Threonine Kinase AGC, catalytic domain__Protein kinase domain__Serine/threonine-protein kinase, active site__AGC-kinase, C-terminal	-__GO:0004674|GO:0005524__GO:0004672|GO:0005524|GO:0006468__GO:0004672|GO:0006468__GO:0004674|GO:0005524|GO:0006468
CopciAB_366685.T0	IPR007715__IPR027540	Ubiquinone biosynthesis protein Coq4__Ubiquinone biosynthesis protein Coq4, eukaryotic	GO:0006744__GO:0005743|GO:0006744
CopciAB_366689.T0	IPR036400__IPR006091__IPR009075__IPR001199__IPR018506__IPR009100__IPR037069__IPR046373__IPR036250__IPR013786__IPR006089	Cytochrome b5-like heme/steroid binding domain superfamily__Acyl-CoA oxidase/dehydrogenase, middle domain__Acyl-CoA dehydrogenase/oxidase C-terminal__Cytochrome b5-like heme/steroid binding domain__Cytochrome b5, heme-binding site__Acyl-CoA dehydrogenase/oxidase, N-terminal and middle domain superfamily__Acyl-CoA dehydrogenase/oxidase, N-terminal domain superfamily__Acyl-CoA oxidase/dehydrogenase, middle domain superfamily__Acyl-CoA dehydrogenase-like, C-terminal__Acyl-CoA dehydrogenase/oxidase, N-terminal__Acyl-CoA dehydrogenase, conserved site	-__GO:0016627__GO:0016627__-__GO:0020037__GO:0016627__GO:0016627|GO:0050660__GO:0016627__GO:0016627__GO:0016627|GO:0050660__GO:0003995
CopciAB_366692.T0	IPR032675	Leucine-rich repeat domain superfamily	-
CopciAB_366697.T0	IPR002745	Phosphotransferase KptA/Tpt1	GO:0016740
CopciAB_366728.T0	IPR037898__IPR007052__IPR008978	NudC family__CS domain__HSP20-like chaperone	-__-__-
CopciAB_366741.T0	IPR044672__IPR016155__IPR028887__IPR003749__IPR012675	Molybdopterin synthase sulfur carrier subunit__Molybdopterin synthase/thiamin biosynthesis sulphur carrier, beta-grasp__Molybdopterin synthase sulfur carrier subunit, eukaryote__Sulfur carrier ThiS/MoaD-like__Beta-grasp domain superfamily	GO:0006777__-__GO:0005829|GO:0006777__-__-
CopciAB_366767.T0	IPR033472__IPR013894__IPR042470	RecQ mediated genome instability protein 1-like, N-terminal helical domain__RecQ mediated genome instability protein 1, N-terminal__RecQ mediated genome instability protein, N-terminal OB-fold superfamily	-__-__-
CopciAB_366768.T0	IPR011600	Peptidase C14, caspase domain	GO:0004197|GO:0006508
CopciAB_366787.T0	IPR005352	Erg28	GO:0016020
CopciAB_366789.T0	IPR043472__IPR002589	Macro domain-like__Macro domain	-__-
CopciAB_366810.T0	IPR036047__IPR001810	F-box-like domain superfamily__F-box domain	GO:0005515__GO:0005515
CopciAB_366826.T0	IPR009088__IPR015872__IPR003194__IPR009083__IPR015871	Transcription factor IIA, beta-barrel__Transcription initiation factor IIA, gamma subunit, N-terminal__Transcription initiation factor IIA, gamma subunit__Transcription factor IIA, alpha-helical domain__Transcription initiation factor IIA, gamma subunit, C-terminal	GO:0005672|GO:0006367__GO:0005672|GO:0006367__GO:0005672|GO:0006367__GO:0005672|GO:0006367__GO:0005672|GO:0006367
CopciAB_366851.T0	IPR010699	Protein of unknown function DUF1275	-
CopciAB_366853.T0	IPR011009__IPR000719__IPR017441__IPR008271	Protein kinase-like domain superfamily__Protein kinase domain__Protein kinase, ATP binding site__Serine/threonine-protein kinase, active site	-__GO:0004672|GO:0005524|GO:0006468__GO:0005524__GO:0004672|GO:0006468
CopciAB_366954.T0	IPR045340	Domain of unknown function DUF6533	-
CopciAB_366990.T0	IPR000757__IPR013320	Glycoside hydrolase family 16__Concanavalin A-like lectin/glucanase domain superfamily	GO:0004553|GO:0005975__-
CopciAB_366995.T0	IPR001375__IPR029058	Peptidase S9, prolyl oligopeptidase, catalytic domain__Alpha/Beta hydrolase fold	GO:0006508|GO:0008236__-
CopciAB_366999.T0	IPR040976__IPR011009	Fungal-type protein kinase__Protein kinase-like domain superfamily	-__-
CopciAB_367023.T0	IPR040343__IPR004206__IPR033469__IPR037009	RNA 5'-triphosphatase Cet1/Ctl1__mRNA triphosphatase Cet1-like__CYTH-like domain superfamily__mRNA triphosphatase Cet1-like superfamily	GO:0004651__GO:0004651__-__GO:0004651
CopciAB_367027.T0	IPR022617__IPR029071	Rad60/SUMO-like domain__Ubiquitin-like domain superfamily	-__-
CopciAB_367029.T0	IPR006683__IPR039298__IPR029069__IPR003736	Thioesterase domain__Acyl-coenzyme A thioesterase 13__HotDog domain superfamily__Phenylacetic acid degradation-related domain	-__GO:0047617__-__-
CopciAB_367031.T0	IPR011333__IPR000210	SKP1/BTB/POZ domain superfamily__BTB/POZ domain	-__GO:0005515
CopciAB_367043.T0	IPR036081__IPR002848__IPR033956__IPR016068__IPR016069	Translin superfamily__Translin family__Translin__Translin, N-terminal__Translin, C-terminal	GO:0043565__GO:0043565__GO:0003697|GO:0003723|GO:0016070__GO:0043565__GO:0043565
CopciAB_367046.T0	IPR001849__IPR011993	Pleckstrin homology domain__PH-like domain superfamily	-__-
CopciAB_367056.T0	IPR004856	Glycosyl transferase, ALG6/ALG8	GO:0016758
CopciAB_367057.T0	IPR007275__IPR012677__IPR000504__IPR045168__IPR035979	YTH domain__Nucleotide-binding alpha-beta plait domain superfamily__RNA recognition motif domain__YTH domain containing protein__RNA-binding domain superfamily	GO:0003723__-__GO:0003723__-__GO:0003676
CopciAB_367064.T0	IPR009072__IPR018465	Histone-fold__Centromere protein Scm3/HJURP	GO:0046982__GO:0005634|GO:0042393
CopciAB_367082.T0	IPR004353__IPR043972__IPR043971__IPR043970	Vacuolar fusion protein Mon1__FUZ/MON1/HPS1, first Longin domain__FUZ/MON1/HPS1, second Longin domain__FUZ/MON1/HPS1, third Longin domain	GO:0006623__GO:0016192__GO:0016192__GO:0016192
CopciAB_367098.T0	IPR011576__IPR012349__IPR000659__IPR019576	Pyridoxamine 5'-phosphate oxidase, putative__FMN-binding split barrel__Pyridoxamine 5'-phosphate oxidase__Pyridoxine 5'-phosphate oxidase, dimerisation, C-terminal	-__-__GO:0004733|GO:0008615|GO:0010181__-
CopciAB_367102.T0	IPR008978__IPR002068__IPR031107	HSP20-like chaperone__Alpha crystallin/Hsp20 domain__Small heat shock protein	-__-__-
CopciAB_367124.T0	IPR009072__IPR003958	Histone-fold__Transcription factor CBF/NF-Y/archaeal histone domain	GO:0046982__-
CopciAB_367126.T0	IPR001810__IPR036047	F-box domain__F-box-like domain superfamily	GO:0005515__GO:0005515
CopciAB_367150.T0	IPR027817__IPR044302__IPR038095	Costars domain__Costars family__Costars domain superfamily	-__-__-
CopciAB_367151.T0	IPR001810__IPR036047__IPR032675	F-box domain__F-box-like domain superfamily__Leucine-rich repeat domain superfamily	GO:0005515__GO:0005515__-
CopciAB_367152.T0	IPR001487__IPR036427__IPR027417__IPR003593__IPR003959__IPR045199__IPR003960__IPR041569	Bromodomain__Bromodomain-like superfamily__P-loop containing nucleoside triphosphate hydrolase__AAA+ ATPase domain__ATPase, AAA-type, core__ATPase family AAA domain-containing protein ATAD2-like__ATPase, AAA-type, conserved site__AAA ATPase, AAA+ lid domain	GO:0005515__GO:0005515__-__-__GO:0005524|GO:0016887__-__GO:0005524|GO:0016887__-
CopciAB_367165.T0	IPR000300__IPR015943__IPR036691__IPR036322__IPR005135__IPR046985	Inositol polyphosphate-related phosphatase__WD40/YVTN repeat-like-containing domain superfamily__Endonuclease/exonuclease/phosphatase superfamily__WD40-repeat-containing domain superfamily__Endonuclease/exonuclease/phosphatase__Inositol 5-phosphatase	GO:0016791|GO:0046856__GO:0005515__-__GO:0005515__GO:0003824__GO:0046856
CopciAB_367186.T0	IPR003591__IPR032675__IPR001611	Leucine-rich repeat, typical subtype__Leucine-rich repeat domain superfamily__Leucine-rich repeat	-__-__GO:0005515
CopciAB_367214.T0	IPR009511	Mad1/Cdc20-bound-Mad2 binding protein	GO:0005634|GO:0007096
CopciAB_367215.T0	IPR044878__IPR000537__IPR039653__IPR030470__IPR006370	UbiA prenyltransferase superfamily__UbiA prenyltransferase family__Prenyltransferase__UbiA prenyltransferase conserved site__4-hydroxybenzoate polyprenyltransferase-like	-__GO:0016020|GO:0016765__-__-__GO:0004659|GO:0016020
CopciAB_367232.T0	IPR036181	MIT domain superfamily	-
CopciAB_367244.T0	IPR045340	Domain of unknown function DUF6533	-
CopciAB_367246.T0	IPR036259__IPR011701__IPR020846	MFS transporter superfamily__Major facilitator superfamily__Major facilitator superfamily domain	-__GO:0022857|GO:0055085__GO:0022857
CopciAB_367260.T0	IPR032466__IPR006680__IPR032465	Metal-dependent hydrolase__Amidohydrolase-related__2-amino-3-carboxymuconate-6-semialdehyde decarboxylase	-__GO:0016787__GO:0016831
CopciAB_367261.T0	IPR008521	Magnesium transporter NIPA	GO:0015095|GO:0015693|GO:0016020
CopciAB_367266.T0	IPR027417	P-loop containing nucleoside triphosphate hydrolase	-
CopciAB_367284.T0	IPR031488__IPR015943__IPR037593__IPR036322	GATOR complex protein MIO, zinc-ribbon like domain__WD40/YVTN repeat-like-containing domain superfamily__MIOS/Sea4__WD40-repeat-containing domain superfamily	-__GO:0005515__-__GO:0005515
CopciAB_367325.T0	IPR002110__IPR036770	Ankyrin repeat__Ankyrin repeat-containing domain superfamily	GO:0005515__-
CopciAB_367330.T0	IPR027417__IPR001019__IPR011025	P-loop containing nucleoside triphosphate hydrolase__Guanine nucleotide binding protein (G-protein), alpha subunit__G protein alpha subunit, helical insertion	-__GO:0003924|GO:0007186|GO:0019001|GO:0031683__GO:0007165
CopciAB_367334.T0	IPR029058__IPR019819__IPR002018__IPR019826	Alpha/Beta hydrolase fold__Carboxylesterase type B, conserved site__Carboxylesterase, type B__Carboxylesterase type B, active site	-__-__-__-
CopciAB_367347.T0	IPR029058__IPR000073__IPR000639	Alpha/Beta hydrolase fold__Alpha/beta hydrolase fold-1__Epoxide hydrolase-like	-__-__GO:0003824
CopciAB_367350.T0	IPR040648	HMG domain-containing protein 3, CxC4 like cysteine cluster	-
CopciAB_367359.T0	IPR011993__IPR004182__IPR031968	PH-like domain superfamily__GRAM domain__VASt domain	-__-__-
CopciAB_367365.T0	IPR036026__IPR012341__IPR001382	Seven-hairpin glycosidases__Six-hairpin glycosidase-like superfamily__Glycoside hydrolase family 47	GO:0004571|GO:0005509|GO:0016020__GO:0005975__GO:0004571|GO:0005509|GO:0016020
CopciAB_367371.T0	IPR022755__IPR013087__IPR036236	Zinc finger, double-stranded RNA binding__Zinc finger C2H2-type__Zinc finger C2H2 superfamily	-__-__-
CopciAB_367382.T0	IPR013087__IPR022755__IPR036236	Zinc finger C2H2-type__Zinc finger, double-stranded RNA binding__Zinc finger C2H2 superfamily	-__-__-
CopciAB_367403.T0	IPR024624__IPR012349	Pyridoxamine 5'-phosphate oxidase, Alr4036 family, FMN-binding domain__FMN-binding split barrel	GO:0010181__-
CopciAB_367424.T0	IPR040648	HMG domain-containing protein 3, CxC4 like cysteine cluster	-
CopciAB_367430.T0	IPR001805__IPR029056__IPR011611__IPR002173	Adenosine kinase__Ribokinase-like__Carbohydrate kinase PfkB__Carbohydrate/purine kinase, PfkB, conserved site	GO:0004001|GO:0006166__-__-__GO:0016773
CopciAB_367451.T0	IPR043164__IPR040637__IPR001790__IPR043141__IPR030670	50S ribosomal protein L10, insertion domain superfamily__60S ribosomal protein L10P, insertion domain__Ribosomal protein L10P__Ribosomal protein L10-like domain superfamily__60S acidic ribosomal protein P0	-__-__-__-__GO:0042254
CopciAB_367455.T0	IPR008936__IPR000198	Rho GTPase activation protein__Rho GTPase-activating protein domain	-__GO:0007165
CopciAB_367462.T0	IPR004328__IPR038499__IPR025304	BRO1 domain__BRO1 domain superfamily__ALIX V-shaped domain	-__-__GO:0005515
CopciAB_367464.T0	IPR011701__IPR001958__IPR036259__IPR020846	Major facilitator superfamily__Tetracycline resistance protein TetA/multidrug resistance protein MdtG__MFS transporter superfamily__Major facilitator superfamily domain	GO:0022857|GO:0055085__GO:0022857__-__GO:0022857
CopciAB_367468.T0	IPR001876__IPR013536__IPR036443	Zinc finger, RanBP2-type__WLM domain__Zinc finger, RanBP2-type superfamily	-__-__-
CopciAB_367476.T0	IPR001650__IPR027417__IPR011545__IPR000629__IPR014014__IPR014001	Helicase, C-terminal__P-loop containing nucleoside triphosphate hydrolase__DEAD/DEAH box helicase domain__ATP-dependent RNA helicase DEAD-box, conserved site__RNA helicase, DEAD-box type, Q motif__Helicase superfamily 1/2, ATP-binding domain	-__-__GO:0003676|GO:0005524__-__GO:0003724__-
CopciAB_367507.T0	IPR019775__IPR015943__IPR001680__IPR024977__IPR020472__IPR036322	WD40 repeat, conserved site__WD40/YVTN repeat-like-containing domain superfamily__WD40 repeat__Anaphase-promoting complex subunit 4, WD40 domain__G-protein beta WD-40 repeat__WD40-repeat-containing domain superfamily	-__GO:0005515__GO:0005515__-__-__GO:0005515
CopciAB_367547.T0	IPR007992__IPR034804	Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, CybS__Fumarate reductase/succinate dehydrogenase, transmembrane subunit	GO:0005740|GO:0016020__GO:0016020
CopciAB_367587.T0	IPR027417__IPR016491__IPR030379	P-loop containing nucleoside triphosphate hydrolase__Septin__Septin-type guanine nucleotide-binding (G) domain	-__GO:0005525__GO:0005525
CopciAB_367667.T0	IPR036188__IPR038732__IPR021163	FAD/NAD(P)-binding domain superfamily__FAD-dependent urate hydroxylase HpyO/Asp monooxygenase CreE-like, FAD/NAD(P)-binding domain__Ferredoxin-NADP+ reductase, adrenodoxin-type	-__-__GO:0016491
CopciAB_367694.T0	IPR001372__IPR037177__IPR019763	Dynein light chain, type 1/2__Dynein light chain superfamily__Dynein light chain, type 1/2, conserved site	GO:0007017|GO:0030286__GO:0007017|GO:0030286__GO:0005875|GO:0007017
CopciAB_367699.T0	IPR022159__IPR000467__IPR022783__IPR045211	Tuftelin interacting protein, N-terminal domain__G-patch domain__GCF, C-terminal__TFP11/STIP/Ntr1	-__GO:0003676__-__GO:0000390
CopciAB_367718.T0	IPR044125__IPR036420__IPR012340__IPR012310__IPR016059__IPR001357__IPR029710__IPR000977__IPR012308__IPR036599__IPR012309	DNA Ligase 4, adenylation domain__BRCT domain superfamily__Nucleic acid-binding, OB-fold__DNA ligase, ATP-dependent, central__DNA ligase, ATP-dependent, conserved site__BRCT domain__DNA ligase 4__DNA ligase, ATP-dependent__DNA ligase, ATP-dependent, N-terminal__DNA ligase, ATP-dependent, N-terminal domain superfamily__DNA ligase, ATP-dependent, C-terminal	GO:0005524__-__-__GO:0003910|GO:0005524|GO:0006281|GO:0006310__GO:0003909__-__GO:0003677|GO:0003910|GO:0005524|GO:0006281|GO:0051103__GO:0003910|GO:0005524|GO:0071897__GO:0003677|GO:0003910|GO:0006281|GO:0006310__GO:0003677|GO:0003910|GO:0006281|GO:0006310__GO:0003910|GO:0006281|GO:0006310
